Table Name,web component,schema,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
engagement_group_members,,"""engagement_group_members""        ""id""        ""uuid""        ""NO""        
""engagement_group_members""        ""group_id""        ""uuid""        ""YES""        
""engagement_group_members""        ""user_id""        ""uuid""        ""NO""        
""engagement_group_members""        ""is_active""        ""boolean""        ""YES""        ""true""
""engagement_group_members""        ""assigned_by""        ""uuid""        ""YES""        
""engagement_group_members""        ""assigned_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_group_members""        ""expires_at""        ""timestamp with time zone""        ""YES""        
""engagement_group_members""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_group_members""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",assignments,assign multiple members,can be used for independant contractors outside of your business,yes,engagement_group_members_group_id_fkey: group_id → engagement_groups.id,engagement_group_members_pkey,"CHECK (id IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (group_id) REFERENCES engagement_groups(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (user_id)",,,,,,,,
engagement_groups,,"""engagement_groups""        ""id""        ""uuid""        ""NO""        
""engagement_groups""        ""name""        ""character varying""        ""NO""        
""engagement_groups""        ""description""        ""text""        ""YES""        
""engagement_groups""        ""group_type""        ""character varying""        ""YES""        ""'STANDARD'::character varying""
""engagement_groups""        ""is_active""        ""boolean""        ""YES""        ""true""
""engagement_groups""        ""metadata""        ""jsonb""        ""YES""        
""engagement_groups""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_groups""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",assignments,organize by group -or- trade -or- whatever you choose,can be used for independant contractors outside of your business,yes,null,engagement_groups_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name)",,,,,,,,
engagement_role_permissions,,"""engagement_role_permissions""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""engagement_role_permissions""        ""role_id""        ""uuid""        ""YES""        
""engagement_role_permissions""        ""engagement_role_id""        ""uuid""        ""YES""        
""engagement_role_permissions""        ""can_assign""        ""boolean""        ""YES""        ""false""
""engagement_role_permissions""        ""can_revoke""        ""boolean""        ""YES""        ""false""
""engagement_role_permissions""        ""applies_to_entity_types""        ""ARRAY""        ""YES""        
""engagement_role_permissions""        ""settings""        ""jsonb""        ""YES""        
""engagement_role_permissions""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_role_permissions""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",permissions,,,,null,entity_engagement_role_permissions_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
engagement_role_types,,"""engagement_role_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""engagement_role_types""        ""name""        ""character varying""        ""NO""        
""engagement_role_types""        ""description""        ""text""        ""YES""        
""engagement_role_types""        ""is_active""        ""boolean""        ""YES""        ""true""
""engagement_role_types""        ""settings""        ""jsonb""        ""YES""        
""engagement_role_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_role_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,assignments,secondary role assignments to grant priviledges in one off instances,yes,null,entity_engagement_role_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
engagement_roles,,"""engagement_roles""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""engagement_roles""        ""name""        ""character varying""        ""NO""        
""engagement_roles""        ""description""        ""text""        ""YES""        
""engagement_roles""        ""engagement_role_type_id""        ""uuid""        ""YES""        
""engagement_roles""        ""applies_to_entity_types""        ""ARRAY""        ""YES""        
""engagement_roles""        ""is_active""        ""boolean""        ""YES""        ""true""
""engagement_roles""        ""settings""        ""jsonb""        ""YES""        
""engagement_roles""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_roles""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagement_roles""        ""is_external_visible""        ""boolean""        ""YES""        ""false""",hierarchy,granule team or external based data access with brute force,"give customers certain access, or marketers, referrals",no,null,entity_engagement_roles_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
engagements,,"""engagements""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""engagements""        ""entity_id""        ""character varying""        ""YES""        
""engagements""        ""entity_type_id""        ""uuid""        ""YES""        
""engagements""        ""user_id""        ""uuid""        ""YES""        
""engagements""        ""engagement_role_id""        ""uuid""        ""YES""        
""engagements""        ""assigned_at""        ""timestamp with time zone""        ""YES""        
""engagements""        ""assigned_by""        ""uuid""        ""YES""        
""engagements""        ""is_active""        ""boolean""        ""YES""        ""true""
""engagements""        ""metadata""        ""jsonb""        ""YES""        
""engagements""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagements""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""engagements""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""",parental entity,special access to entities,can be assigned to marketers,yes,null,"idx_engagements_status, entity_engagements_pkey","CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
entities,,"""entities""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entities""        ""entity_type_id""        ""uuid""        ""NO""        
""entities""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""entities""        ""metadata""        ""jsonb""        ""YES""        
""entities""        ""created_by""        ""uuid""        ""YES""        
""entities""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entities""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",parental entity,,,,entities_entity_type_id_fkey: entity_type_id → entity_types.id,entities_pkey,"CHECK (entity_type_id IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id), NOT NULL (entity_type_id)",,,,,,,,
entity_achievement_types,,"""entity_achievement_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_achievement_types""        ""name""        ""character varying""        ""NO""        
""entity_achievement_types""        ""description""        ""text""        ""YES""        
""entity_achievement_types""        ""icon""        ""character varying""        ""YES""        
""entity_achievement_types""        ""color""        ""character varying""        ""YES""        
""entity_achievement_types""        ""conditions""        ""jsonb""        ""YES""        
""entity_achievement_types""        ""settings""        ""jsonb""        ""YES""        
""entity_achievement_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_achievement_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,write your achievements that you want to track,system outlines what types can be used,yes,null,entity_achievement_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
entity_achievements,,"""entity_achievements""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_achievements""        ""entity_id""        ""character varying""        ""YES""        
""entity_achievements""        ""entity_type_id""        ""uuid""        ""YES""        
""entity_achievements""        ""achievement_type_id""        ""uuid""        ""YES""        
""entity_achievements""        ""time_period""        ""character varying""        ""YES""        
""entity_achievements""        ""notes""        ""text""        ""YES""        
""entity_achievements""        ""created_by""        ""uuid""        ""YES""        
""entity_achievements""        ""visit_timestamp""        ""timestamp with time zone""        ""YES""        
""entity_achievements""        ""metadata""        ""jsonb""        ""YES""        
""entity_achievements""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_achievements""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",tracking,achievements,,,null,entity_achievements_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
entity_card_layout,,"""entity_card_layout""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_card_layout""        ""entity_type_id""        ""uuid""        ""YES""        
""entity_card_layout""        ""entity_card_type_id""        ""uuid""        ""YES""        
""entity_card_layout""        ""display_order""        ""integer""        ""YES""        
""entity_card_layout""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_card_layout""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_card_layout""        ""field_mappings""        ""jsonb""        ""YES""        ",containers,maps entity types to card types with display rules,offers easy custom adaptation to custom requests,yes,entity_card_layout_entity_type_id_fkey: entity_type_id → entity_types.id,entity_card_layout_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id)",,,,,,,,
entity_cards,,"""entity_cards""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_cards""        ""name""        ""character varying""        ""NO""        
""entity_cards""        ""description""        ""text""        ""YES""        
""entity_cards""        ""icon""        ""character varying""        ""YES""        
""entity_cards""        ""color""        ""character varying""        ""YES""        
""entity_cards""        ""is_active""        ""boolean""        ""YES""        ""true""
""entity_cards""        ""display_order""        ""integer""        ""YES""        
""entity_cards""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_cards""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_cards""        ""content_template""        ""jsonb""        ""YES""        ",containers,defines card styles and rendering templates,custom orders,yes,null,entity_cards_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
entity_event_approvals,,"""entity_event_approvals""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_event_approvals""        ""entity_event_id""        ""uuid""        ""YES""        
""entity_event_approvals""        ""approval_role_id""        ""uuid""        ""YES""        
""entity_event_approvals""        ""requested_at""        ""timestamp with time zone""        ""YES""        
""entity_event_approvals""        ""requested_by""        ""uuid""        ""YES""        
""entity_event_approvals""        ""status""        ""character varying""        ""YES""        
""entity_event_approvals""        ""approved_at""        ""timestamp with time zone""        ""YES""        
""entity_event_approvals""        ""approved_by""        ""uuid""        ""YES""        
""entity_event_approvals""        ""rejection_reason""        ""text""        ""YES""        
""entity_event_approvals""        ""notes""        ""text""        ""YES""        
""entity_event_approvals""        ""metadata""        ""jsonb""        ""YES""        
""entity_event_approvals""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_event_approvals""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",tracking,approvals,,,null,entity_event_approvals_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
entity_event_types,,"""entity_event_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_event_types""        ""name""        ""character varying""        ""NO""        
""entity_event_types""        ""description""        ""text""        ""YES""        
""entity_event_types""        ""icon""        ""character varying""        ""YES""        
""entity_event_types""        ""color""        ""character varying""        ""YES""        
""entity_event_types""        ""entity_type_id""        ""uuid""        ""YES""        
""entity_event_types""        ""available_to_roles""        ""ARRAY""        ""YES""        
""entity_event_types""        ""needs_approval""        ""boolean""        ""YES""        ""false""
""entity_event_types""        ""approver_roles""        ""ARRAY""        ""YES""        
""entity_event_types""        ""is_active""        ""boolean""        ""YES""        ""true""
""entity_event_types""        ""settings""        ""jsonb""        ""YES""        
""entity_event_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_event_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_event_types""        ""notification_template_id""        ""uuid""        ""YES""        
""entity_event_types""        ""approval_threshold""        ""integer""        ""YES""        
""entity_event_types""        ""approval_expiry_days""        ""integer""        ""YES""        
""entity_event_types""        ""auto_approve_after_days""        ""integer""        ""YES""        
""entity_event_types""        ""approval_logic""        ""character varying""        ""YES""        ",identification,track events ,system outlines what events / transactions can be tracked,yes,null,entity_event_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
entity_events,,"""entity_events""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_events""        ""entity_id""        ""uuid""        ""NO""        
""entity_events""        ""entity_type_id""        ""uuid""        ""NO""        
""entity_events""        ""entity_event_type""        ""character varying""        ""YES""        
""entity_events""        ""entity_event_id""        ""uuid""        ""YES""        
""entity_events""        ""action""        ""character varying""        ""YES""        
""entity_events""        ""performed_by""        ""uuid""        ""YES""        
""entity_events""        ""performed_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_events""        ""previous_state""        ""jsonb""        ""YES""        
""entity_events""        ""new_state""        ""jsonb""        ""YES""        
""entity_events""        ""change_summary""        ""text""        ""YES""        
""entity_events""        ""metadata""        ""jsonb""        ""YES""        
""entity_events""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""",tracking,events,,,"entity_events_entity_id_fkey: entity_id → entities.id
entity_events_entity_type_id_fkey: entity_type_id → entity_types.id
entity_events_performed_by_fkey: performed_by → users.id",entity_events_pkey,"CHECK (entity_id IS NOT NULL), CHECK (entity_type_id IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (entity_id) REFERENCES entities(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (performed_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (entity_id), NOT NULL (entity_type_id)",,,,,,,,
entity_files,,"""entity_files""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_files""        ""entity_id""        ""uuid""        ""NO""        
""entity_files""        ""entity_type""        ""character varying""        ""NO""        
""entity_files""        ""file_type""        ""character varying""        ""NO""        
""entity_files""        ""name""        ""character varying""        ""NO""        
""entity_files""        ""drive_file_id""        ""character varying""        ""NO""        
""entity_files""        ""drive_view_link""        ""text""        ""YES""        
""entity_files""        ""drive_download_link""        ""text""        ""YES""        
""entity_files""        ""thumbnail_url""        ""text""        ""YES""        
""entity_files""        ""mime_type""        ""character varying""        ""YES""        
""entity_files""        ""size""        ""bigint""        ""YES""        
""entity_files""        ""created_by""        ""uuid""        ""YES""        
""entity_files""        ""metadata""        ""jsonb""        ""YES""        
""entity_files""        ""created_at""        ""timestamp with time zone""        ""NO""        ""now()""
""entity_files""        ""updated_at""        ""timestamp with time zone""        ""NO""        ""now()""",joining table,,"Stores files (documents, images, etc.) associated with any entity in the system using a polymorphic relationship.",,entity_files_created_by_fkey: created_by → users.id,"idx_entity_files_entity_type, idx_entity_files_drive_file_id, entity_files_pkey, idx_entity_files_entity_id, idx_entity_files_file_type","CHECK (created_at IS NOT NULL), CHECK (drive_file_id IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (file_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (drive_file_id), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (file_type), NOT NULL (name)",,,,,,,,
entity_managers,,"""entity_managers""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_managers""        ""entity_id""        ""uuid""        ""NO""        
""entity_managers""        ""user_id""        ""uuid""        ""NO""        
""entity_managers""        ""role_id""        ""uuid""        ""NO""        
""entity_managers""        ""assigned_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_managers""        ""assigned_by""        ""uuid""        ""YES""        
""entity_managers""        ""is_active""        ""boolean""        ""YES""        ""true""
""entity_managers""        ""metadata""        ""jsonb""        ""YES""        
""entity_managers""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_managers""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",hierarchy,where we assign users to entities - this renders the data view,roles are given certain permissions over entities - not a real reason for primamry.  when we develop the salesTracking we may add to this.,yes,"entity_managers_assigned_by_fkey: assigned_by → users.id
entity_managers_entity_id_fkey: entity_id → entities.id
entity_managers_user_id_fkey: user_id → users.id",entity_managers_pkey,"CHECK (entity_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (role_id IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (assigned_by) REFERENCES users(id), FOREIGN KEY (entity_id) REFERENCES entities(id), FOREIGN KEY (user_id) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (entity_id), NOT NULL (role_id), NOT NULL (user_id)",,,,,,,,
entity_matches,,"""entity_matches""        ""id""        ""uuid""        ""NO""        
""entity_matches""        ""digital_lead_id""        ""uuid""        ""YES""        
""entity_matches""        ""matched_entity_id""        ""uuid""        ""NO""        
""entity_matches""        ""matched_entity_type""        ""character varying""        ""NO""        
""entity_matches""        ""match_confidence""        ""numeric""        ""YES""        
""entity_matches""        ""match_criteria""        ""jsonb""        ""YES""        
""entity_matches""        ""is_confirmed""        ""boolean""        ""YES""        ""false""
""entity_matches""        ""confirmed_by""        ""uuid""        ""YES""        
""entity_matches""        ""created_at""        ""timestamp without time zone""        ""NO""        
""entity_matches""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",records,,,,entity_matches_digital_lead_id_fkey: digital_lead_id → digital_leads.id,entity_matches_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (matched_entity_id IS NOT NULL), CHECK (matched_entity_type IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (digital_lead_id) REFERENCES digital_leads(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (matched_entity_id), NOT NULL (matched_entity_type), NOT NULL (updated_at)",,digital lead capture matches record in database,,,,,,
entity_photos,,"""entity_photos""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_photos""        ""entity_id""        ""character varying""        ""YES""        
""entity_photos""        ""entity_type_id""        ""uuid""        ""YES""        
""entity_photos""        ""photo_url""        ""character varying""        ""NO""        
""entity_photos""        ""photo_type""        ""character varying""        ""YES""        
""entity_photos""        ""is_primary""        ""boolean""        ""YES""        ""false""
""entity_photos""        ""description""        ""text""        ""YES""        
""entity_photos""        ""created_by""        ""uuid""        ""YES""        
""entity_photos""        ""metadata""        ""jsonb""        ""YES""        
""entity_photos""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_photos""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,shortcut to google drive - profile photos,"Specifically stores photos associated with entities, with metadata specific to images.",,null,entity_photos_pkey,"CHECK (id IS NOT NULL), CHECK (photo_url IS NOT NULL), PRIMARY KEY (id), NOT NULL (photo_url)",,,,,,,,
entity_touchpoints,,"""entity_touchpoints""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_touchpoints""        ""entity_id""        ""character varying""        ""YES""        
""entity_touchpoints""        ""entity_type_id""        ""uuid""        ""YES""        
""entity_touchpoints""        ""touchpoint_code_id""        ""uuid""        ""YES""        
""entity_touchpoints""        ""notes""        ""text""        ""YES""        
""entity_touchpoints""        ""status""        ""character varying""        ""YES""        
""entity_touchpoints""        ""created_by""        ""uuid""        ""YES""        
""entity_touchpoints""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_touchpoints""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,,"Records customer interaction points (calls, emails, meetings) linked to any entity via polymorphic relationship.",,"entity_touchpoints_created_by_fkey: created_by → users.id
entity_touchpoints_entity_type_id_fkey: entity_type_id → entity_types.id
entity_touchpoints_touchpoint_code_id_fkey: touchpoint_code_id → touchpoint_types.id",entity_touchpoints_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (touchpoint_code_id) REFERENCES touchpoint_types(id), PRIMARY KEY (id)",,,,,,,,
entity_types,,"""entity_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_types""        ""display_name""        ""character varying""        ""NO""        
""entity_types""        ""parent_category""        ""character varying""        ""YES""        
""entity_types""        ""is_filterable""        ""boolean""        ""YES""        ""true""
""entity_types""        ""settings""        ""jsonb""        ""YES""        
""entity_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,structural records,"Defines the fundamental entity types in the system. This table is crucial as it categorizes all primary data objects that flow through the salesBlanket application (addresses, contacts, opportunities). These entities represent the core objects that forms will be created for.",,null,entity_types_pkey,"CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), PRIMARY KEY (id), NOT NULL (display_name)",,,,,,,,
entity_zones,,"""entity_zones""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""entity_zones""        ""entity_id""        ""character varying""        ""YES""        
""entity_zones""        ""zone_id""        ""uuid""        ""YES""        
""entity_zones""        ""relationship_type""        ""character varying""        ""YES""        
""entity_zones""        ""is_primary""        ""boolean""        ""YES""        ""false""
""entity_zones""        ""metadata""        ""jsonb""        ""YES""        
""entity_zones""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""entity_zones""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",geo location,territorial control of entities,included in the salesWarBoard ,no - relases in beta with salesBlanket v1.0 - all customers will get salesWarBoard for free grandfathered in if they sign up in beta and sign on as a customer for v1.0,null,entity_zones_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
estimate_components,,"""estimate_components""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""estimate_components""        ""name""        ""character varying""        ""NO""        
""estimate_components""        ""description""        ""text""        ""YES""        
""estimate_components""        ""component_type""        ""character varying""        ""NO""        
""estimate_components""        ""component_schema""        ""jsonb""        ""NO""        
""estimate_components""        ""organization_id""        ""uuid""        ""YES""        
""estimate_components""        ""department_id""        ""uuid""        ""YES""        
""estimate_components""        ""is_active""        ""boolean""        ""YES""        ""true""
""estimate_components""        ""created_by""        ""uuid""        ""YES""        
""estimate_components""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""estimate_components""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",components,estimate building blocks,"Stores individual components within estimates, supporting the drag-and-drop estimate builder functionality.",no,"estimate_components_created_by_fkey: created_by → users.id
estimate_components_department_id_fkey: department_id → departments.id
estimate_components_organization_id_fkey: organization_id → organizations.id",estimate_components_pkey,"CHECK (component_schema IS NOT NULL), CHECK (component_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (department_id) REFERENCES departments(id), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (component_schema), NOT NULL (component_type), NOT NULL (name)",,,,,,,,
estimate_types,,"""estimate_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""estimate_types""        ""name""        ""character varying""        ""NO""        
""estimate_types""        ""description""        ""text""        ""YES""        
""estimate_types""        ""template_id""        ""character varying""        ""YES""        
""estimate_types""        ""requires_signature""        ""boolean""        ""YES""        ""true""
""estimate_types""        ""fields""        ""jsonb""        ""YES""        
""estimate_types""        ""settings""        ""jsonb""        ""YES""        
""estimate_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""estimate_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,estimate/financial items - dynamic,"Categorizes different types of estimates that can be created in the system. This allows for specific templates and workflows based on the type of estimate being created, supporting salesBlanket's drag-and-drop estimate builder.",,null,estimate_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
estimates,,"""estimates""        ""id""        ""uuid""        ""NO""        
""estimates""        ""collection_id""        ""uuid""        ""NO""        
""estimates""        ""entity_id""        ""uuid""        ""NO""        
""estimates""        ""entity_type""        ""character varying""        ""NO""        
""estimates""        ""estimate_type_id""        ""uuid""        ""NO""        
""estimates""        ""name""        ""character varying""        ""YES""        
""estimates""        ""status""        ""character varying""        ""YES""        ""'DRAFT'::character varying""
""estimates""        ""total_amount""        ""numeric""        ""YES""        
""estimates""        ""description""        ""text""        ""YES""        
""estimates""        ""valid_until""        ""timestamp without time zone""        ""YES""        
""estimates""        ""is_public""        ""boolean""        ""YES""        ""false""
""estimates""        ""public_token""        ""character varying""        ""YES""        
""estimates""        ""created_by""        ""uuid""        ""NO""        
""estimates""        ""metadata""        ""jsonb""        ""YES""        
""estimates""        ""created_at""        ""timestamp without time zone""        ""NO""        
""estimates""        ""updated_at""        ""timestamp without time zone""        ""NO""        
""estimates""        ""form_definition_id""        ""uuid""        ""YES""        
""estimates""        ""form_version""        ""integer""        ""YES""        ",interface,estimate/financial items - dynamic,"Estimates are a critical component of the salesBlanket application that serve as formal pricing proposals to customers. They combine product/service selections, pricing calculations, customer information, and visual elements (like photos and annotations) into a professional document that can be presented to customers for approval.",,null,estimates_pkey,"CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (estimate_type_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (estimate_type_id), NOT NULL (id), NOT NULL (updated_at)",,,,,,,,
event_contact_roles,ContactRoleSelector component; Assigns specific roles to contacts for different events,"""event_contact_roles""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""event_contact_roles""        ""event_id""        ""uuid""        ""NO""        
""event_contact_roles""        ""event_type""        ""character varying""        ""NO""        
""event_contact_roles""        ""contact_id""        ""uuid""        ""YES""        
""event_contact_roles""        ""role_type""        ""character varying""        ""NO""        
""event_contact_roles""        ""is_notified""        ""boolean""        ""YES""        ""false""
""event_contact_roles""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,role assignments,"Associates contacts with specific events (opportunities, estimates) with defined roles for targeted notifications",yes,event_contact_roles_contact_id_fkey: contact_id → contacts.id,"idx_event_contact_roles_event, event_contact_roles_pkey, idx_event_contact_roles_contact","CHECK (event_id IS NOT NULL), CHECK (event_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (role_type IS NOT NULL), FOREIGN KEY (contact_id) REFERENCES contacts(id), PRIMARY KEY (id), NOT NULL (event_id), NOT NULL (event_type), NOT NULL (role_type)",,opportunity/estimate creation or manual assignment,,,notification rules check,cascade delete when parent event is deleted,,
